"year","division","region","state","state.code","est_pop","sum_total_homeless","sum_unemploy_rate","mean.homeless","mean.unemploy","homeless_proportion","unemploy_proportion"
2008,"New England","Northeast","Connecticut","CT",3545579,4627,43.2,4354.2,58.62,0.00130500547301301,1.2184187688386e-05
2008,"South Atlantic","South","Delaware","DE",883874,933,13.4,1001.9,20.7,0.00105558032027189,1.51605319310218e-05
2008,"Pacific","West","Hawaii","HI",1332213,6061,13.9,6497.5,22.91,0.00454957277852716,1.04337669726988e-05
2008,"Mountain","West","Idaho","ID",1534320,1464,204,1976.3,352.13,0.000954168621930236,0.000132957922727984
2008,"East North Central","Midwest","Illinois","IL",12747038,14724,678.9,13811.3,890.01,0.00115509187310809,5.32594317205299e-05
2008,"East North Central","Midwest","Indiana","IN",6424806,7395,521.5,6437.2,755.65,0.00115100751680284,8.11697660598623e-05
2008,"West North Central","Midwest","Iowa","IA",3016734,3346,477.5,3088.7,585.65,0.00110914651407781,0.0001582837598542
2008,"West North Central","Midwest","Kansas","KS",2808076,1572,433.5,2094.9,532.9,0.000559813908170577,0.000154376163608107
2008,"East South Central","South","Kentucky","KY",4289878,8137,0,5919.3,939.44,0.00189679053809922,0
2008,"West South Central","South","Louisiana","LA",4435586,5481,0,7093.1,328.47,0.00123568791136053,0
2008,"New England","Northeast","Maine","ME",1330509,2632,105.1,2528.8,128.84,0.00197819030160638,7.89923254934766e-05
2008,"South Atlantic","South","Maryland","MD",5684965,9219,104.3,9319.2,175.84,0.00162164586765266,1.8346638897513e-05
2008,"New England","Northeast","Massachusetts","MA",6468967,14506,80.8,17693.5,113.1,0.00224239820669977,1.24904022543321e-05
2008,"East North Central","Midwest","Michigan","MI",9946889,28248,0,15296.9,658.28,0.00283988290208124,0
2008,"West North Central","Midwest","Minnesota","MN",5247018,7644,601.9,7727.1,651.42,0.00145682747800751,0.000114712775904333
2008,"East South Central","South","Mississippi","MS",2947806,1961,636.9,2194.7,851.98,0.000665240521255469,0.000216058994384298
2008,"West North Central","Midwest","Missouri","MO",5923916,7853,710.3,7911,917.75,0.00132564337509175,0.000119903793369116
2008,"Mountain","West","Montana","MT",976415,1417,309,1572.9,354.64,0.00145122719335528,0.000316463798692154
2008,"West North Central","Midwest","Nebraska","NE",1796378,3985,338.7,3411.7,381.19,0.00221835270750365,0.000188546063245041
2008,"Mountain","West","Nevada","NV",2653630,8726,106.1,8907.1,156.47,0.00328832580276828,3.99829667285944e-05
2008,"New England","Northeast","New Hampshire","NH",1315906,2019,41.1,1608.5,52.18,0.00153430412202695,3.12332339847983e-05
2008,"Middle Atlantic","Northeast","New Jersey","NJ",8711090,13832,116.1,12788,175.24,0.00158786099098965,1.33278384220574e-05
2008,"Mountain","West","New Mexico","NM",2010662,3015,148.1,3028.3,241.53,0.00149950613280601,7.36573327590614e-05
2008,"Middle Atlantic","Northeast","New York","NY",19212436,61125,387.3,71603.2,497.59,0.00318153304453428,2.01588179656135e-05
2008,"South Atlantic","South","North Carolina","NC",9309449,12411,615.3,11964.5,935.65,0.00133316160816822,6.60941372577475e-05
2008,"West North Central","Midwest","North Dakota","ND",657569,615,238.5,966.9,249.92,0.000935263067449956,0.000362699579815959
2008,"East North Central","Midwest","Ohio","OH",11515391,12912,615,12218.6,807.37,0.00112128194344421,5.34067840162787e-05
2008,"West South Central","South","Oklahoma","OK",3668976,3846,288.3,4427.4,436.06,0.00104824888470243,7.85777830108455e-05
2008,"Pacific","West","Oregon","OR",3768748,20653,267.5,16057.6,360.16,0.00548006924315449,7.09784787945493e-05
2008,"Middle Atlantic","Northeast","Pennsylvania","PA",12612285,15378,400.2,15222.1,523.41,0.00121928738527555,3.17309670690125e-05
2008,"New England","Northeast","Rhode Island","RI",1055003,1196,34.8,1264.9,44.97,0.00113364606546143,3.29856881923558e-05
2008,"South Atlantic","South","South Carolina","SC",4528996,5660,343.8,5228,469.11,0.00124972510463688,7.591086412971e-05
