Year,state.code,Sum_Total_Homeless
2009,RI,1607
2010,RI,1282
2011,RI,1070
2012,RI,1277
2013,RI,1384
2014,RI,1190
2015,RI,1111
2016,RI,1160
2007,SC,5660
2008,SC,5660
2009,SC,4473
2010,SC,4473
2011,SC,5093
2012,SC,4915
2013,SC,6544
2014,SC,5057
2015,SC,5354
2016,SC,5051
2007,SD,579
2008,SD,579
2009,SD,731
2010,SD,731
2011,SD,826
2012,SD,859
2013,SD,1094
2014,SD,885
2015,SD,1036
2016,SD,1072
2007,TN,11210
2008,TN,9705
2009,TN,10532
2010,TN,10276
2011,TN,9113
2012,TN,9426
2013,TN,9528
2014,TN,9415
2015,TN,9123
2016,TN,8779
2007,TX,39788
2008,TX,40190
2009,TX,36761
2010,TX,35121
2011,TX,36911
2012,TX,34052
2013,TX,29615
2014,TX,28495
2015,TX,23678
2016,TX,23122
2007,UT,3011
2008,UT,3434
2009,UT,3795
2010,UT,3284
2011,UT,3130
2012,UT,3527
2013,UT,3277
2014,UT,3081
2015,UT,3025
2016,UT,2807
2007,VA,9746
2008,VA,8469
2009,VA,8852
2010,VA,9080
2011,VA,8816
2012,VA,8424
2013,VA,7625
2014,VA,7020
2015,VA,7001
2016,VA,6268
2007,VT,1035
2008,VT,954
2009,VT,1214
2010,VT,1220
2011,VT,1144
2012,VT,1160
2013,VT,1454
2014,VT,1559
2015,VT,1523
2016,VT,1117
2007,WA,23379
2008,WA,21954
2009,WA,22782
2010,WA,22878
2011,WA,20439
2012,WA,20504
2013,WA,17760
2014,WA,18442
2015,WA,19419
2016,WA,20827
2007,WI,5648
2008,WI,5449
2009,WI,6525
2010,WI,6333
2011,WI,5785
2012,WI,6027
2013,WI,6104
2014,WI,6055
2015,WI,6057
2016,WI,5685
2007,WV,2409
2008,WV,2016
2009,WV,1667
2010,WV,2264
2011,WV,2211
2012,WV,2410
2013,WV,2240
2014,WV,2013
2015,WV,1835
2016,WV,1387
2007,WY,537
2008,WY,751
2009,WY,515
2010,WY,579
2011,WY,1038
2012,WY,1813
2013,WY,953
2014,WY,757
2015,WY,798
2016,WY,857
