"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","avg_homeless_07to16","avg_unemploy_07to16","Estimate Date","Estimate"
2008,"Massachusetts","MA",14506,80.8,17693.5,113.1,"EST_JUL_2008",6468967
2008,"Michigan","MI",28248,0,15296.9,658.28,"EST_JUL_2008",9946889
2008,"Minnesota","MN",7644,601.9,7727.1,651.42,"EST_JUL_2008",5247018
2008,"Mississippi","MS",1961,636.9,2194.7,851.98,"EST_JUL_2008",2947806
2008,"Missouri","MO",7853,710.3,7911,917.75,"EST_JUL_2008",5923916
2008,"Montana","MT",1417,309,1572.9,354.64,"EST_JUL_2008",976415
2008,"Nebraska","NE",3985,338.7,3411.7,381.19,"EST_JUL_2008",1796378
2008,"Nevada","NV",8726,106.1,8907.1,156.47,"EST_JUL_2008",2653630
2008,"New Hampshire","NH",2019,41.1,1608.5,52.18,"EST_JUL_2008",1315906
2008,"New Jersey","NJ",13832,116.1,12788,175.24,"EST_JUL_2008",8711090
2008,"New Mexico","NM",3015,148.1,3028.3,241.53,"EST_JUL_2008",2010662
2008,"New York","NY",61125,387.3,71603.2,497.59,"EST_JUL_2008",19212436
2008,"North Carolina","NC",12411,615.3,11964.5,935.65,"EST_JUL_2008",9309449
2008,"North Dakota","ND",615,238.5,966.9,249.92,"EST_JUL_2008",657569
2008,"Ohio","OH",12912,615,12218.6,807.37,"EST_JUL_2008",11515391
2008,"Oklahoma","OK",3846,288.3,4427.4,436.06,"EST_JUL_2008",3668976
2008,"Oregon","OR",20653,267.5,16057.6,360.16,"EST_JUL_2008",3768748
2008,"Pennsylvania","PA",15378,400.2,15222.1,523.41,"EST_JUL_2008",12612285
2008,"Rhode Island","RI",1196,34.8,1264.9,44.97,"EST_JUL_2008",1055003
2008,"South Carolina","SC",5660,343.8,5228,469.11,"EST_JUL_2008",4528996
2008,"South Dakota","SD",579,245.5,839.2,333.56,"EST_JUL_2008",799124
2008,"Tennessee","TN",9705,683.7,9710.7,893,"EST_JUL_2008",6247411
2008,"Texas","TX",40190,0,32773.3,1161.96,"EST_JUL_2008",24309039
2008,"Utah","UT",3434,129.1,3237.1,204.88,"EST_JUL_2008",2663029
2008,"Vermont","VT",954,79.4,1238,86.63,"EST_JUL_2008",624151
2008,"Virginia","VA",8469,0,8130.1,745.68,"EST_JUL_2008",7833496
2008,"Washington","WA",21954,296,20838.4,384.88,"EST_JUL_2008",6562231
2008,"West Virginia","WV",2016,327.4,2045.2,470.39,"EST_JUL_2008",1840310
2008,"Wisconsin","WI",5449,439.4,5966.8,580.5,"EST_JUL_2008",5640996
2008,"Wyoming","WY",751,88.1,859.8,127.62,"EST_JUL_2008",546043
2009,"Alabama","AL",6080,794.8,5106.3,624,"EST_JUL_2009",4757938
2009,"Arizona","AZ",14721,166,11803.2,149.56,"EST_JUL_2009",6343154
2009,"Arkansas","AR",2852,681,3211.4,633.61,"EST_JUL_2009",2896843
2009,"California","CA",123678,712.7,123428.5,498.51,"EST_JUL_2009",36961229
2009,"Colorado","CO",15268,387.4,13189.1,415.96,"EST_JUL_2009",4972195
2009,"Connecticut","CT",4605,58.1,4354.2,58.62,"EST_JUL_2009",3561807
2009,"Delaware","DE",1130,24.1,1001.9,20.7,"EST_JUL_2009",891730
2009,"Hawaii","HI",5782,31.7,6497.5,22.91,"EST_JUL_2009",1346717
2009,"Idaho","ID",1939,404.5,1976.3,352.13,"EST_JUL_2009",1554439
2009,"Illinois","IL",14055,948.4,13811.3,890.01,"EST_JUL_2009",12796778
2009,"Indiana","IN",6984,963.2,6437.2,755.65,"EST_JUL_2009",6459325
2009,"Iowa","IA",3380,738.5,3088.7,585.65,"EST_JUL_2009",3032870
2009,"Kansas","KS",1670,554,2094.9,532.9,"EST_JUL_2009",2832704
2009,"Kentucky","KY",5999,0,5919.3,939.44,"EST_JUL_2009",4317074
